period_begin_month,period_begin_year,period_begin_month_year,covid_month_year_state,state,cases,deaths
1,2020,1-2020,1-2020CA,CA,0,0
2,2020,2-2020,2-2020CA,CA,34,0
3,2020,3-2020,3-2020CA,CA,6898,150
4,2020,4-2020,4-2020CA,CA,41985,1740
5,2020,5-2020,5-2020CA,CA,61666,2153
6,2020,6-2020,6-2020CA,CA,112334,1834
7,2020,7-2020,7-2020CA,CA,270671,3062
8,2020,8-2020,8-2020CA,CA,210497,3818
9,2020,9-2020,9-2020CA,CA,106540,2900
10,2020,10-2020,10-2020CA,CA,111380,1948
11,2020,11-2020,11-2020CA,CA,290963,1615
12,2020,12-2020,12-2020CA,CA,1018584,6154
1,2021,1-2021,1-2021CA,CA,1011796,14539
2,2021,2-2021,2-2021CA,CA,232214,11881
3,2021,3-2021,3-2021CA,CA,92864,6142
4,2021,4-2021,4-2021CA,CA,69706,2531
5,2021,5-2021,5-2021CA,CA,46900,1544
6,2021,6-2021,6-2021CA,CA,25422,1012
7,2021,7-2021,7-2021CA,CA,147322,912
8,2021,8-2021,8-2021CA,CA,421145,1352
9,2021,9-2021,9-2021CA,CA,316753,3383
10,2021,10-2021,10-2021CA,CA,187013,2849
11,2021,11-2021,11-2021CA,CA,181585,2193
12,2021,12-2021,12-2021CA,CA,444848,2135
1,2020,1-2020,1-2020FL,FL,,
2,2020,2-2020,2-2020FL,FL,,
3,2020,3-2020,3-2020FL,FL,6512,180
4,2020,4-2020,4-2020FL,FL,26966,1281
5,2020,5-2020,5-2020FL,FL,21662,1187
6,2020,6-2020,6-2020FL,FL,101024,1139
7,2020,7-2020,7-2020FL,FL,314998,5201
8,2020,8-2020,8-2020FL,FL,151859,5252
9,2020,9-2020,9-2020FL,FL,85015,2330
10,2020,10-2020,10-2020FL,FL,114634,1609
11,2020,11-2020,11-2020FL,FL,238299,2084
12,2020,12-2020,12-2020FL,FL,419924,3754
1,2021,1-2021,1-2021FL,FL,480115,5933
2,2021,2-2021,2-2021FL,FL,231873,3675
3,2021,3-2021,3-2021FL,FL,194967,2076
4,2021,4-2021,4-2021FL,FL,220263,1694
5,2021,5-2021,5-2021FL,FL,112968,1529
6,2021,6-2021,6-2021FL,FL,66755,973
